Job Number,Job Title,Institution,URL,payment,financial,transaction,customer,manage,trade,risk,platform,digital,technology,insurance,investment,market,bank,asset,economic,data,capital,regulatory,business,service,institution,equity,lending,user,automate,system,fund,identity,information,infrastructure,fintech,product,global,model,solution,crowdfunding,future,innovation,industry,network,contract,uncertainty,credit,development,attribute,loan,security,forum,cost,authentication,analytic,ledger,ecosystem,liquidity,intermediaries,process,legal,distributed,firm,online,experience,quantitative,loss,entity,revenue,settlement,operation,bitcoin,cloud,retail,blockchain,governance,bond,validation,share,project,cryptocurrency,wealth,fraud,venture,customization,diligence,order,algorithmic,collateral,liability,audit,framework,api,strategy,demand,developer,mobile,account,ai,license,sales,policy,tax,Is Job Fintech
12088,Marketing Campaign Manager  - Existing Customer Deposit and Investment Wallet Growth & Retention,Citi Group,https://jobs.citi.com/job/new-york/marketing-campaign-manager-existing-customer-deposit-and-investment-wallet-growth-and-retention/287/9907688,2,3,1,10,8,0,0,0,0,0,0,6,15,7,1,1,0,1,0,6,3,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,27,0,3,0,0,0
12158,Mutual Fund Financial Reporting & Administration VP,Citi Group,https://jobs.citi.com/job/columbus/mutual-fund-financial-reporting-and-administration-vp/287/10051499,1,16,1,1,2,0,0,0,0,0,0,4,2,3,1,1,1,1,0,4,3,1,0,1,0,0,1,7,0,7,0,0,11,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,27,0,0,0,1,0
12227,Email Production Manager,Citi Group,https://jobs.citi.com/job/jacksonville/email-production-manager/287/10179897,1,2,1,3,5,0,0,0,1,0,0,1,3,3,1,1,2,1,0,4,3,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,29,0,0,0,0,0
12285,Client Service Officer,Citi Group,https://jobs.citi.com/job/miami/client-service-officer/287/10276497,3,5,15,3,8,2,0,2,0,1,0,6,5,16,1,1,1,3,4,10,19,2,0,1,0,0,4,6,0,4,1,0,11,1,0,4,0,0,0,1,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,1,13,6,0,1,0,3,0,1,3,0,0,7,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,1,0,0,0,3,1,3,0,2,0,0,15,28,1,4,2,1,0
12396,Senior Vice President  Fair Employment Practices,Citi Group,https://jobs.citi.com/job/tampa/senior-vice-president-fair-employment-practices/287/10455816,1,2,1,1,13,0,14,0,0,1,0,1,2,3,1,1,2,3,6,7,3,1,0,1,0,0,0,0,0,1,0,0,3,5,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,4,2,1,0,0,1,30,0,0,1,0,0
12446,Client Service Officer,Citi Group,https://jobs.citi.com/job/houston/client-service-officer/287/10527002,3,5,15,3,8,2,0,2,0,1,0,6,5,16,1,1,1,3,4,10,19,2,0,1,0,0,4,6,0,4,1,0,11,1,0,4,0,0,0,1,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,1,13,6,0,1,0,3,0,1,3,0,0,7,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,1,0,0,0,3,1,3,0,2,0,0,15,28,1,4,2,1,0
12520,Administrative Assistant,Citi Group,https://jobs.citi.com/job/new-york/administrative-assistant/287/10623423,1,2,2,1,7,0,0,0,0,0,0,2,4,12,1,1,0,1,0,2,4,1,0,1,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,28,0,0,1,2,0
12733,Head of Servicing for Relationship Domains,Citi Group,https://jobs.citi.com/job/jacksonville/head-of-servicing-for-relationship-domains/287/9680168,2,3,1,33,4,0,1,1,6,2,0,1,4,5,2,1,3,1,0,11,4,1,0,1,1,0,0,0,0,2,0,0,4,1,1,3,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,2,6,2,0,3,2,29,0,1,0,0,0
12734,Head of Servicing for Mission Domains,Citi Group,https://jobs.citi.com/job/jacksonville/head-of-servicing-for-mission-domains/287/9680157,2,3,1,33,4,0,1,1,6,2,0,1,4,5,2,1,3,1,0,11,4,1,0,1,1,0,0,0,0,2,0,0,4,1,1,3,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,2,6,2,0,3,2,28,0,1,0,0,0
13069,Manager-GFC Policies and Training,Morgan Stanley,https://ms.taleo.net/careersection/2/moresearch.ftl;jsessionid=4arnSxY8eNOOwoalVDMb6HPp4TBIYniVT83doaA4x_4pWQjKFxkl!-497835726,0,3,2,0,4,0,1,4,0,3,0,2,1,1,0,1,2,0,0,5,3,1,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,6,0,0
