Rank,Word
2,financial
4,customer
5,manage
7,risk
10,technology
12,investment
13,market
14,bank
15,asset
17,data
18,capital
19,regulatory
20,business
21,service
24,lending
27,system
30,information
32,fintech
33,product
35,model
36,solution
44,credit
45,development
47,loan
48,security
52,analytic
57,process
60,firm
62,experience
68,operation
76,share
77,project
84,order
88,audit
90,api
95,account
96,ai
98,sales
