Company,Amount
WellsFargo,1661
Comerica Inc,261
American Express,673
M&T Bank,1059
Charles Schwab,811
Citi Group,960
Key Corp Bank,520
BB&T Corp,572
US Bank,1563
Pendi,3
BNY Mellon,1320
Citizen,782
Regions,890
Suntrust Bank,2030
PNC Bank,981
Northern Trust,250
Discover Financials,891
Bank of America,3000
Huntington Bancshares,299
Fifth Third Bank,50
JP Morgan,7229
Capital One,2324
Goldman Sachs,634
Morgan Stanley,909
