Cluster,Job Count,Job Count(With Fintech)
Cluster1,11609,30
Cluster2,1009,1
Cluster3,1216,3
Cluster4,4717,1
Cluster5,2015,22
Cluster6,798,12
Cluster7,5861,32
Cluster8,2447,24
