Word,TF-IDF
scenario,0.0018172781936511197
retrieved,0.0017893200675949486
ind,0.0016402100619620362
attributes,0.0012581156725276982
evidence,0.001155602543655071
rps,0.0010624087901345007
idps,0.0010251312887262728
uncertainties,0.001001783572408288
schemes,0.0009319375352057024
attribute,0.0008946600337974743
crowdfunding,0.0008760212830933603
insurers,0.0008664074139747356
coco,0.0008201050309810181
lending,0.0008161248408422732
managers,0.0008014662802769041
dlt,0.0007929174993965214
fintechs,0.0007921469049248469
externalisation,0.000764188778868676
rp,0.0007269112774604479
decentralised,0.0007082725267563339
user,0.0007078239140954313
goods,0.0006896337760522198
competition,0.0006803144007001627
incumbents,0.0006768807921677621
ai,0.0006709950253481057
idp,0.0006709950253481057
collateral,0.0006523562746439917
conclusion,0.0006382018897581758
ceo,0.0006337175239398776
proxy,0.0006150787732357635
fis,0.0006111266580714652
regulator,0.0005964400225316496
algorithmic,0.0005964400225316496
authentication,0.0005871206471795925
trade,0.0005801835361437962
traders,0.0005778012718275355
arranger,0.0005778012718275355
real,0.0005685798654209202
pressure,0.0005591625211234214
syndicate,0.0005591625211234214
funding,0.0005531083044570857
paints,0.0005405237704193075
equity,0.0005376367434932511
niche,0.0005312043950672504
ings,0.0005218850197151934
smaller,0.0005125656443631364
beneficiary,0.0005032462690110793
custodian,0.0004939268936590223
insuree,0.0004846075183069653
citizens,0.0004659687676028512
scenarios,0.0004659687676028512
syndicated,0.0004659687676028512
investor,0.000452543158192161
ion,0.00044733001689873714
compete,0.00044733001689873714
founder,0.00044733001689873714
statement,0.00044733001689873714
costs,0.00044093948746928505
robo,0.00043801064154668016
marketplace,0.00043801064154668016
corporation,0.0004286912661946231
commoditised,0.0004286912661946231
savers,0.0004286912661946231
contract,0.0004216000362644919
rehypothecation,0.0004193718908425661
lenders,0.0004138642557825746
distributors,0.00041005251549050905
insurtechs,0.00041005251549050905
sender,0.00041005251549050905
importer,0.00041005251549050905
import,0.00041005251549050905
absorption,0.00041005251549050905
machines,0.000391413764786395
techs,0.000391413764786395
usage,0.000391413764786395
voting,0.000391413764786395
consent,0.000391413764786395
export,0.000391413764786395
votes,0.000391413764786395
base,0.000382094389434338
servicing,0.000382094389434338
audit,0.000372775014082281
ig,0.000372775014082281
ita,0.000372775014082281
lend,0.000372775014082281
equ,0.000372775014082281
ity,0.000372775014082281
crowdfund,0.000372775014082281
frastructure,0.000372775014082281
peer,0.000372775014082281
settlement,0.00035971379240915365
psd,0.00035413626337816694
standardised,0.00035413626337816694
customs,0.00035413626337816694
summary,0.0003519780119272363
underwriting,0.0003481101216862777
gain,0.0003403743412043604
smarter,0.00033549751267405287
empowerment,0.00033549751267405287
personalised,0.00033549751267405287
pledged,0.00033549751267405287
exporter,0.00033549751267405287
depiction,0.00033549751267405287
cast,0.00033549751267405287
connected,0.00032877067048148444
review,0.00032617813732199584
card,0.00032490278024052585
consolidation,0.0003168587619699388
worth,0.0003168587619699388
seed,0.0003168587619699388
accrue,0.0003168587619699388
specialised,0.0003168587619699388
studies,0.0003094312192766913
narrative,0.00030753938661788176
futures,0.0002982200112658248
segments,0.0002982200112658248
authenticate,0.0002982200112658248
ecosystems,0.00028890063591376774
statements,0.00028890063591376774
correspondent,0.00028890063591376774
paths,0.0002795812605617107
externalization,0.0002795812605617107
inspection,0.0002795812605617107
auditor,0.0002795812605617107
merchants,0.00027848809734902215
life,0.0002707523168671049
personal,0.0002707523168671049
power,0.0002702618852096537
sellers,0.0002668844266261462
innovative,0.0002609425098575967
circa,0.0002609425098575967
sufficient,0.0002609425098575967
initiate,0.0002609425098575967
contingent,0.0002609425098575967
adjuster,0.0002609425098575967
shipment,0.0002609425098575967
supporting,0.0002552807559032703
raising,0.0002552807559032703
reduced,0.0002552807559032703
buyers,0.0002552807559032703
affluent,0.00025162313450553965
start,0.00025141286566231165
incumbent,0.00024367708518039437
borrowers,0.00024367708518039437
rapid,0.00024230375915348264
monetization,0.00024230375915348264
evolution,0.00024230375915348264
big,0.00024230375915348264
cashless,0.00024230375915348264
disaggregation,0.00024230375915348264
challenger,0.00024230375915348264
tupas,0.00024230375915348264
predictions,0.00024230375915348264
intermediating,0.00024230375915348264
convertible,0.00024230375915348264
participant,0.00024230375915348264
counterparty,0.00023980919493943575
strategies,0.00023594130469847713
execution,0.00023594130469847713
find,0.0002329843838014256
meant,0.0002329843838014256
issuers,0.0002329843838014256
offerings,0.00023207341445751845
higher,0.00022820552421655982
rise,0.0002243376339756012
demand,0.0002243376339756012
chains,0.00022366500844936857
manufacturers,0.00022366500844936857
pressures,0.00022366500844936857
signs,0.00022366500844936857
decrease,0.00022366500844936857
journal,0.00022366500844936857
popularity,0.00022366500844936857
governments,0.00022366500844936857
quality,0.00022366500844936857
lender,0.00022366500844936857
authorization,0.00022366500844936857
discover,0.00022366500844936857
realised,0.00022366500844936857
renewal,0.00022366500844936857
invoice,0.00022366500844936857
tokenized,0.00022366500844936857
venture,0.0002166018534936839
returns,0.00021434563309731156
experiences,0.00021434563309731156
ratio,0.00021434563309731156
stakeholders,0.00021273396325272528
savings,0.00021273396325272528
entrants,0.0002088660730117666
seeking,0.00020502625774525453
manufacturing,0.00020502625774525453
patterns,0.00020502625774525453
side,0.00020502625774525453
identifier,0.00020502625774525453
illustrations,0.00020502625774525453
remittance,0.00020502625774525453
tests,0.00020502625774525453
institutional,0.00020499818277080797
social,0.00020499818277080797
deposits,0.00020113029252984935
retailers,0.0001957068823931975
amazon,0.0001957068823931975
telematics,0.0001957068823931975
margin,0.0001957068823931975
